id,created_at,username,lang,text
818385946039242752,2017-01-09 09:16:29,ZombieSquid,en,@PH4NT4M argh just fly
818385920537821185,2017-01-09 09:16:22,NootNoot93,en,The best thing about #TubeStrike is we can all tweet about it because we can't get underground 🚇
818385914082758660,2017-01-09 09:16:21,RIONmagazine,en,Loving the jacket that Oliver is wearing here. #londonfashionweekmens #fashion #mens #jacket… https://t.co/BUO8mXaANB
818385911746596864,2017-01-09 09:16:20,ClausVistesen,en,@DuncanWeldon They won't? https://t.co/u34qiqK61Y
818385907963281410,2017-01-09 09:16:19,IPExecutive,und,https://t.co/nTu86JTSIU
818385902644981760,2017-01-09 09:16:18,SkinnydipLondon,en,@kirstyshaw92 More design will be coming in soon! 🙂
818385894747074560,2017-01-09 09:16:16,WorldFIFAreport,en,FIFA Awards: The Best FIFA Football Awards™ Launched Today in Zurich. Replacing 25 Years of History - LIVE Broadcas… https://t.co/J3v4gDNU3H
818385891542454277,2017-01-09 09:16:16,trendinaliaGB,en,Trend Alert: 'Meryl Streep'. More trends at https://t.co/do7Hdxwcnc #trndnl https://t.co/uU9eJSpLAJ
818385888136855552,2017-01-09 09:16:15,lastairnotters,en,"Work (@ John Lewis Head Office - @johnlewisretail in London, Greater London) https://t.co/ZulyG7DtaQ"
818385885188292608,2017-01-09 09:16:14,WappingLee,en,"Dear Kardashian fans. If you want to see true talent/celebrity/class please feel free to Google ""Meryl Streep 2017 Golden Globe speech"""
818385880167620609,2017-01-09 09:16:13,Stephsimone,en,Nothing quite starts your week like spending hours standing on a stationary bus reading emails from colleagues who opted to WFH #Tubestrike
818385880104730624,2017-01-09 09:16:13,rhialucy,en,Really enjoying a wee walking tour of the city this morning. #TubeStrike
818385871221194752,2017-01-09 09:16:11,michaelconsagra,en,Walked to work and arrived 30 seconds behind the bus I couldn't get on. Much better than being squashed on the peasant wagon #TubeStrike
818385869686140928,2017-01-09 09:16:10,EmmaBallantine,en,@MeggNicol @lovesongwriting I have used those exact words myself!
818385861695901696,2017-01-09 09:16:08,IP_Ltd,und,https://t.co/6bzrQ07Ph7
818385858596339712,2017-01-09 09:16:08,NoToTTIPSaveNHS,en,@Channel4News what gives her the right to go on a political rant? Become a politician if she's that bothered! Preaching at people won't help
818385855333142529,2017-01-09 09:16:07,RodneyVubya,en,I can't even begin to vent my frustration at #TfL this morning. Happy Monday. Said no one. Ever.
818385842645377024,2017-01-09 09:16:04,MrLix,en,@LAmericasNews @calm0an but you're happy millions wont get to work today. weird innit
818385835695501313,2017-01-09 09:16:02,Sturgeball,en,"If you ask me how I got to work today, I literally don't even know. I'll answer ""Luckily"" or ""Slowly"". Should have walked the 5 miles."
818385817408303104,2017-01-09 09:15:58,truemagic68,en,@TheIanHalstead - You don't think charity begins at home?  Strange!
818385811003637760,2017-01-09 09:15:56,txmrecruit,en,.@DerbyTelegraph our new office in Derby. 2017 = Exciting times https://t.co/V4iSQq7sEa https://t.co/cRhZPZTLdv
818385802963128320,2017-01-09 09:15:54,DonFonzi,en,"Clapham Junction was closed for overcrowding, yet we passed through and the platforms didn't have a single passenger on it @SouthernRailUK"
818385768276234245,2017-01-09 09:15:46,Creative_Tender,en,Ready for a new week! #MondayMotivation https://t.co/CgNOFRCjp4
818385763381497856,2017-01-09 09:15:45,jfcfc2107,en,You sure that's not a queue to get on the Shakespeare or Pacha? https://t.co/B0tKOCff6u
818385762630639616,2017-01-09 09:15:45,jkelly2102,en,Travel chaos. Where is the ever missing transport secretary. At least the mayor is trying a little harder to resolve the travel disputes
818385731659952129,2017-01-09 09:15:37,joeevanswrites,en,@rebz_hastings Needless to say I didn't get an uber.
818385728908521472,2017-01-09 09:15:37,TheatreBookings,en,Don't walk like this to work during the #TubeStrike .. you won't get very far (PS #OneDayMore until we're back like… https://t.co/wQczkewHPp
818385719152545792,2017-01-09 09:15:34,JFWGFW,en,I'm a normally mild mannered slightly grumpy commuter. Queue jumping on a tube strike day. @TfL  could you provide some gallows and rope.
818385716870844417,2017-01-09 09:15:34,chrisfc99,en,@NatFinestFruit This would so fit in with my #NewYearsResolution to eat more healthily #win
818385711435018240,2017-01-09 09:15:33,jackrjthompson,en,@wjharte i want to!
818385706099867648,2017-01-09 09:15:31,AvrupaTimes,en,Monday 9 January Travel Update TfL confirms services operating | News AV https://t.co/U2GB55fovM via… https://t.co/9w2arIqh0A
